dataset_name,file_id,algorithm_name,build_time_ms,query_time_ms,accuracy_percent,avg_dist_ratio,space_bytes
data_K100,43,KDTree_Approx_BBF200,1.365125,5.920209,84.000000,1.022949,424000
data_K100,43,LSH_SumParity_l4_k5,0.805917,5.970084,59.000000,1.045357,430944
data_K100,44,BruteForce,0.184375,27.183375,100.0,1.0,404000
data_K100,44,KDTree_Exact,1.371458,28.960833,100.000000,1.000000,424000
data_K100,44,KDTree_Approx_BBF200,1.319583,5.883125,79.000000,1.027464,424000
data_K100,44,LSH_SumParity_l4_k5,0.785875,6.153583,51.000000,1.052946,431136
data_K100,45,BruteForce,0.149458,27.366500,100.0,1.0,404000
data_K100,45,KDTree_Exact,1.360917,29.405667,100.000000,1.000000,424000
data_K100,45,KDTree_Approx_BBF200,1.360833,5.933208,83.000000,1.024979,424000
data_K100,45,LSH_SumParity_l4_k5,0.832625,6.338958,50.000000,1.053132,430688
data_K100,46,BruteForce,0.157167,27.494209,100.0,1.0,404000
data_K100,46,KDTree_Exact,1.403375,29.065375,100.000000,1.000000,424000
data_K100,46,KDTree_Approx_BBF200,1.383000,5.981375,83.000000,1.022754,424000
data_K100,46,LSH_SumParity_l4_k5,0.846833,7.178959,60.000000,1.045535,430496
data_K100,47,BruteForce,0.158792,27.289292,100.0,1.0,404000
data_K100,47,KDTree_Exact,1.347916,28.772583,100.000000,1.000000,424000
data_K100,47,KDTree_Approx_BBF200,1.364833,5.945750,83.000000,1.021364,424000
data_K100,47,LSH_SumParity_l4_k5,0.869250,7.424459,60.000000,1.044711,430752
data_K100,48,BruteForce,0.157750,27.463959,100.0,1.0,404000
data_K100,48,KDTree_Exact,1.349667,28.793584,100.000000,1.000000,424000
data_K100,48,KDTree_Approx_BBF200,1.336792,6.005625,87.000000,1.023897,424000
data_K100,48,LSH_SumParity_l4_k5,0.788416,5.862958,57.000000,1.050354,431392
data_K100,49,BruteForce,0.156375,27.005292,100.0,1.0,404000
data_K100,49,KDTree_Exact,1.383208,28.644125,100.000000,1.000000,424000
data_K100,49,KDTree_Approx_BBF200,1.336708,5.834125,84.000000,1.021545,424000
data_K100,49,LSH_SumParity_l4_k5,0.937875,5.863875,48.000000,1.051841,430560
data_K100,50,BruteForce,0.162292,27.437458,100.0,1.0,404000
data_K100,50,KDTree_Exact,1.347084,29.289667,100.000000,1.000000,424000
data_K100,50,KDTree_Approx_BBF200,1.327041,5.978000,82.000000,1.023745,424000
data_K100,50,LSH_SumParity_l4_k5,0.870167,6.227292,52.000000,1.052201,430688
data_K100,51,BruteForce,0.161958,27.716708,100.0,1.0,404000
data_K100,51,KDTree_Exact,1.463000,31.162125,100.000000,1.000000,424000
data_K100,51,KDTree_Approx_BBF200,1.361417,6.132042,84.000000,1.023260,424000
data_K100,51,LSH_SumParity_l4_k5,0.800500,6.256000,53.000000,1.051173,430240
data_K100,52,BruteForce,0.156458,27.700291,100.0,1.0,404000
data_K100,52,KDTree_Exact,1.356208,29.100208,100.000000,1.000000,424000
data_K100,52,KDTree_Approx_BBF200,1.381917,6.069500,80.000000,1.024992,424000
data_K100,52,LSH_SumParity_l4_k5,0.859708,5.945417,50.000000,1.053338,430432
data_K100,53,BruteForce,0.158208,27.666291,100.0,1.0,404000
data_K100,53,KDTree_Exact,1.415625,29.285541,100.000000,1.000000,424000
data_K100,53,KDTree_Approx_BBF200,1.369083,6.137625,87.000000,1.020837,424000
data_K100,53,LSH_SumParity_l4_k5,0.791208,5.844250,56.000000,1.049235,430816
data_K100,54,BruteForce,0.154958,27.538125,100.0,1.0,404000
data_K100,54,KDTree_Exact,1.387125,29.156083,100.000000,1.000000,424000
data_K100,54,KDTree_Approx_BBF200,1.362041,6.202375,84.000000,1.024263,424000
data_K100,54,LSH_SumParity_l4_k5,0.796167,6.018875,49.000000,1.049141,430560
data_K100,55,BruteForce,0.152625,28.035958,100.0,1.0,404000
data_K100,55,KDTree_Exact,1.541708,28.604458,100.000000,1.000000,424000
data_K100,55,KDTree_Approx_BBF200,1.412750,5.995375,83.000000,1.026128,424000
data_K100,55,LSH_SumParity_l4_k5,0.850458,5.808333,53.000000,1.048042,430816
data_K100,56,BruteForce,0.146917,27.222958,100.0,1.0,404000
data_K100,56,KDTree_Exact,1.342541,28.848291,100.000000,1.000000,424000
data_K100,56,KDTree_Approx_BBF200,1.376250,6.118791,81.000000,1.027233,424000
data_K100,56,LSH_SumParity_l4_k5,0.826375,5.909667,55.000000,1.054389,430048
data_K100,57,BruteForce,0.151791,27.655708,100.0,1.0,404000
data_K100,57,KDTree_Exact,1.450541,29.592833,100.000000,1.000000,424000
data_K100,57,KDTree_Approx_BBF200,1.411750,6.206000,80.000000,1.026680,424000
data_K100,57,LSH_SumParity_l4_k5,0.840583,6.026125,55.000000,1.047116,430688
data_K100,58,BruteForce,0.153208,28.196208,100.0,1.0,404000
data_K100,58,KDTree_Exact,1.579125,29.720750,100.000000,1.000000,424000
